method,recall@8,recall@20,ndcg@8,ndcg@20
bytes_ann_dense,134.0,151.0,0.573653550638584,0.5968798423902576
bytes_ann_hybrid,141.0,156.0,0.5954765187727536,0.6157130822582322
f32_ann_dense,134.0,151.0,0.573653550638584,0.5968798423902576
f32_ann_hybrid,141.0,156.0,0.5954765187727536,0.6157130822582322
f32_exact_dense,135.0,153.0,0.5768725799935405,0.6014776378392309
f32_exact_hybrid,143.0,158.0,0.6012465685358733,0.621483132021352
half_ann_dense,134.0,151.0,0.573653550638584,0.5968798423902576
half_ann_hybrid,141.0,156.0,0.5954765187727536,0.6157130822582322
half_exact_dense,135.0,153.0,0.5768725799935405,0.6014776378392309
half_exact_hybrid,143.0,158.0,0.6012465685358734,0.621483132021352
native_exact_dense,135.0,153.0,0.5768725799935406,0.6014776378392309
native_exact_hybrid,143.0,158.0,0.6012465685358733,0.621483132021352
